# 12 sources matching Python seispie examples/adjoint geometry.
# Sources at z=48 km, spread across x, f0=0.020 Hz.
# Format: x(m)     z(m)   type  f0(Hz)  t0(s)   ang   amp
  8.1231e+04  4.8000e+04   0     0.020   0.0     0.0   1.0e10
  1.1446e+05  4.8000e+04   0     0.020   0.0     0.0   1.0e10
  1.4769e+05  4.8000e+04   0     0.020   0.0     0.0   1.0e10
  1.8092e+05  4.8000e+04   0     0.020   0.0     0.0   1.0e10
  2.1415e+05  4.8000e+04   0     0.020   0.0     0.0   1.0e10
  2.4738e+05  4.8000e+04   0     0.020   0.0     0.0   1.0e10
  2.8062e+05  4.8000e+04   0     0.020   0.0     0.0   1.0e10
  3.1385e+05  4.8000e+04   0     0.020   0.0     0.0   1.0e10
  3.4708e+05  4.8000e+04   0     0.020   0.0     0.0   1.0e10
  3.8031e+05  4.8000e+04   0     0.020   0.0     0.0   1.0e10
  4.1354e+05  4.8000e+04   0     0.020   0.0     0.0   1.0e10
  4.4677e+05  4.8000e+04   0     0.020   0.0     0.0   1.0e10
