# 144 receivers: 12 x-columns (same as sources) × 12 depths.
# Receivers at z=78–403 km (below sources at z=48 km).
# Format: x(m)  z(m)
  8.1231e+04  7.7538e+04
  8.1231e+04  1.0708e+05
  8.1231e+04  1.3662e+05
  8.1231e+04  1.6615e+05
  8.1231e+04  1.9569e+05
  8.1231e+04  2.2523e+05
  8.1231e+04  2.5477e+05
  8.1231e+04  2.8431e+05
  8.1231e+04  3.1385e+05
  8.1231e+04  3.4338e+05
  8.1231e+04  3.7292e+05
  8.1231e+04  4.0246e+05
  1.1446e+05  7.7538e+04
  1.1446e+05  1.0708e+05
  1.1446e+05  1.3662e+05
  1.1446e+05  1.6615e+05
  1.1446e+05  1.9569e+05
  1.1446e+05  2.2523e+05
  1.1446e+05  2.5477e+05
  1.1446e+05  2.8431e+05
  1.1446e+05  3.1385e+05
  1.1446e+05  3.4338e+05
  1.1446e+05  3.7292e+05
  1.1446e+05  4.0246e+05
  1.4769e+05  7.7538e+04
  1.4769e+05  1.0708e+05
  1.4769e+05  1.3662e+05
  1.4769e+05  1.6615e+05
  1.4769e+05  1.9569e+05
  1.4769e+05  2.2523e+05
  1.4769e+05  2.5477e+05
  1.4769e+05  2.8431e+05
  1.4769e+05  3.1385e+05
  1.4769e+05  3.4338e+05
  1.4769e+05  3.7292e+05
  1.4769e+05  4.0246e+05
  1.8092e+05  7.7538e+04
  1.8092e+05  1.0708e+05
  1.8092e+05  1.3662e+05
  1.8092e+05  1.6615e+05
  1.8092e+05  1.9569e+05
  1.8092e+05  2.2523e+05
  1.8092e+05  2.5477e+05
  1.8092e+05  2.8431e+05
  1.8092e+05  3.1385e+05
  1.8092e+05  3.4338e+05
  1.8092e+05  3.7292e+05
  1.8092e+05  4.0246e+05
  2.1415e+05  7.7538e+04
  2.1415e+05  1.0708e+05
  2.1415e+05  1.3662e+05
  2.1415e+05  1.6615e+05
  2.1415e+05  1.9569e+05
  2.1415e+05  2.2523e+05
  2.1415e+05  2.5477e+05
  2.1415e+05  2.8431e+05
  2.1415e+05  3.1385e+05
  2.1415e+05  3.4338e+05
  2.1415e+05  3.7292e+05
  2.1415e+05  4.0246e+05
  2.4738e+05  7.7538e+04
  2.4738e+05  1.0708e+05
  2.4738e+05  1.3662e+05
  2.4738e+05  1.6615e+05
  2.4738e+05  1.9569e+05
  2.4738e+05  2.2523e+05
  2.4738e+05  2.5477e+05
  2.4738e+05  2.8431e+05
  2.4738e+05  3.1385e+05
  2.4738e+05  3.4338e+05
  2.4738e+05  3.7292e+05
  2.4738e+05  4.0246e+05
  2.8062e+05  7.7538e+04
  2.8062e+05  1.0708e+05
  2.8062e+05  1.3662e+05
  2.8062e+05  1.6615e+05
  2.8062e+05  1.9569e+05
  2.8062e+05  2.2523e+05
  2.8062e+05  2.5477e+05
  2.8062e+05  2.8431e+05
  2.8062e+05  3.1385e+05
  2.8062e+05  3.4338e+05
  2.8062e+05  3.7292e+05
  2.8062e+05  4.0246e+05
  3.1385e+05  7.7538e+04
  3.1385e+05  1.0708e+05
  3.1385e+05  1.3662e+05
  3.1385e+05  1.6615e+05
  3.1385e+05  1.9569e+05
  3.1385e+05  2.2523e+05
  3.1385e+05  2.5477e+05
  3.1385e+05  2.8431e+05
  3.1385e+05  3.1385e+05
  3.1385e+05  3.4338e+05
  3.1385e+05  3.7292e+05
  3.1385e+05  4.0246e+05
  3.4708e+05  7.7538e+04
  3.4708e+05  1.0708e+05
  3.4708e+05  1.3662e+05
  3.4708e+05  1.6615e+05
  3.4708e+05  1.9569e+05
  3.4708e+05  2.2523e+05
  3.4708e+05  2.5477e+05
  3.4708e+05  2.8431e+05
  3.4708e+05  3.1385e+05
  3.4708e+05  3.4338e+05
  3.4708e+05  3.7292e+05
  3.4708e+05  4.0246e+05
  3.8031e+05  7.7538e+04
  3.8031e+05  1.0708e+05
  3.8031e+05  1.3662e+05
  3.8031e+05  1.6615e+05
  3.8031e+05  1.9569e+05
  3.8031e+05  2.2523e+05
  3.8031e+05  2.5477e+05
  3.8031e+05  2.8431e+05
  3.8031e+05  3.1385e+05
  3.8031e+05  3.4338e+05
  3.8031e+05  3.7292e+05
  3.8031e+05  4.0246e+05
  4.1354e+05  7.7538e+04
  4.1354e+05  1.0708e+05
  4.1354e+05  1.3662e+05
  4.1354e+05  1.6615e+05
  4.1354e+05  1.9569e+05
  4.1354e+05  2.2523e+05
  4.1354e+05  2.5477e+05
  4.1354e+05  2.8431e+05
  4.1354e+05  3.1385e+05
  4.1354e+05  3.4338e+05
  4.1354e+05  3.7292e+05
  4.1354e+05  4.0246e+05
  4.4677e+05  7.7538e+04
  4.4677e+05  1.0708e+05
  4.4677e+05  1.3662e+05
  4.4677e+05  1.6615e+05
  4.4677e+05  1.9569e+05
  4.4677e+05  2.2523e+05
  4.4677e+05  2.5477e+05
  4.4677e+05  2.8431e+05
  4.4677e+05  3.1385e+05
  4.4677e+05  3.4338e+05
  4.4677e+05  3.7292e+05
  4.4677e+05  4.0246e+05
